,Positive,Negative
69,US to screen passengers for new China coronavirus at 3 airports https://cna.asia/2FZvx0r pic.twitter.com/u86MNuHbzM,#China shuts down 13 cities as #coronavirus toll climbs http://bit.ly/2RmPJzP 
70,US to screen passengers for new China coronavirus at three airports https://cna.asia/2TxdkPS pic.twitter.com/cRaY2Awxiu,Jialat liao 41 death from the corona virus.
71,Some organic sweet apple tea in office for CNY eve because apples represent safety (平安)! We all need an extra dose of safety in times of the Wuhan coronavirus. @ Ngee Ann Polytechnic https://www.instagram.com/p/B7rnHkaBdOk/?igshid=738yweerg1ky …,"In a world where we are told that plastic straws are going to kill us all, it’s hard to know how to seriously to take this new virus.  #coronavirus"
72,Be safe. Please get some smart scientists to work on a cure for #coronavirus soon! pic.twitter.com/XVTB0XgEqj,US stock futures fall more than 1 percent as coronavirus fears spread https://cna.asia/37q5wn4 pic.twitter.com/TBS6OGvlZy
73,Japan number 2 #nCoV2019 #coronavirus https://twitter.com/ChannelNewsAsia/status/1220494949323436032 …,"Bill and Melinda Gates Foundation, others, predicted 65 million deaths from Coronavirus in simulation ran 3 months ago http://bit.ly/30XaNjF  via @intellihubnews"
74,How long before cafes like these become the source of the next coronavirus outbreak? Breakfast With Raccoons: The Rise of China’s Exotic Pet Cafés https://www.sixthtone.com/news/1005120/Breakfast%20With%20Raccoons:%20The%20Rise%20of%20China%E2%80%99s%20Exotic%20Pet%20Caf%C3%A9s?utm_source=Pico&utm_campaign=3d2d702209-EMAIL_CAMPAIGN_2020_01_23_11_26&utm_medium=email&utm_term=0_aa6d5ab160-3d2d702209-165463965 …,New coronavirus infected 40 staff members in single Wuhan hospital: Study https://cna.asia/37aAP4g pic.twitter.com/D3qrEOMoqX
75,"Sars - china
H1n1 - china
Wuhan coronavirus - china 
Yall china people really should up your hygiene game. ","Staggered recess also among measures taken to tackle outbreak

#coronavirus #2019nCoVhttps://www.straitstimes.com/singapore/education/schools-suspend-assemblies-scale-back-orientations …"
76,Still no PHEIC #nCoV2019 #coronavirus https://twitter.com/HelenBranswell/status/1220486958922829824 …,Pentagon reduces size of Singapore Airshow delegation over coronavirus concerns: Sources https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-singapore-airshow-pentagon-12407710#.Xj35aFsHzbw.twitter …
77,COOL. the novel coronavirus is in Singapore.,#Coronavirus death toll soars to 717: official http://bt.sg/4dJ7 pic.twitter.com/XXHEdMTOHC
78,"Scientists in #Australia have developed a lab-grown version of the #coronavirus, which will help speed up work towards a #vaccine for the #disease. #coronavirus #WuhanVirus #health #publichealthhttps://www.abc.net.au/news/2020-01-29/wuhan-coronavirus-created-in-australian-lab-outside-of-china/11906390?pfmredir=sm …",New coronavirus infected 40 staff in single Wuhan hospital: study https://sg.news.yahoo.com/coronavirus-infected-40-staff-single-wuhan-hospital-study-183031387.html?soc_src=community&soc_trk=tw … via @Yahoo
79,"Fighting #coronavirus! #TRON is on the way! Wuhan, we are with you! Stay strong! @Tronfoundationpic.twitter.com/yVpYvBTiwt","Coronavirus death toll surges past 700, exceeding SARS toll in China and Hong Kong https://www.channelnewsasia.com/news/asia/wuhan-virus-death-toll-china-feb-8-12407618#.Xj3zjSbVP78.twitter …"
80,MOM to reject all new work pass applications for foreign workers from Hubei #wuhanvirus #coronavirus http://bit.ly/2GuD3kd ,The new #coronavirus may have infected at least 1 in 20 people in Wuhan #CoronavirusOutbreak #CoronavirusWho #JTSSQUADhttps://twitter.com/BloombergAsia/status/1226293298102403072 …
81,China's first coronavirus hospital has open take 2 days to build 加油 https://youtu.be/gY_xBXXMI5I  via @YouTube,The new #coronavirus has now killed more people than SARS; the global death toll currently stands at at least 805 (source: @CNBC)
82,"Didn’t the government just imposed a 14-day compulsory LOA :/ as measured to tackle #coronavirus Honestly, wtf is this message? pic.twitter.com/QDACI2LTMj",Coronavirus death toll in China rises above 800 https://cna.asia/38hV0yU pic.twitter.com/2TkQF2awZh
83,Dude....get the fact that they are spreading a coronavirus that has no cure till today....we dont bring any disease to china...and to add on..its like karma for they did to uyghur muslims... https://twitter.com/MothershipSG/status/1222081444874350592 …,This disease worst than Coronavirus is spreading worldwide. Military forces are sick.
84,"SIA, Silkair and Scoot to cut capacity into China after demand hit by #coronavirus http://bit.ly/36D0yCp pic.twitter.com/XJmM9c0Ypb",Wuhan coronavirus and our REIT investments.: Regular readers might remember a blog from 2018 when I shared a message from a reader: “I do my own diligence which I think is sound but cannot help but be worried when I see negative things about REITs being… http://dlvr.it/RPSw26 pic.twitter.com/sm30ZJul9W
85,Wuhan virus: China says it has confidence and capability to win war against coronavirus https://www.straitstimes.com/asia/east-asia/wuhan-virus-chinas-un-envoy-says-beijing-assessing-who-coronavirus-declaration?utm_term=Autofeed&utm_campaign=sttw&utm_medium=Social&utm_source=Twitter#Echobox=1580427631 …,"Not what it appears to be – despite the #CoronavirusOutbreak, #SUTD Assistant Professor Lyle Fearnley tells us why shutting down China's wet markets actually does more harm than good. http://bit.ly/3980xHY 
#coronavirus"
86,Wuhan virus: China says it has confidence and capability to win war against coronavirus https://www.straitstimes.com/asia/east-asia/wuhan-virus-chinas-un-envoy-says-beijing-assessing-who-coronavirus-declaration?utm_term=Autofeed&utm_campaign=sttw&utm_medium=social&utm_source=Twitter#Echobox=1580427482 …,Coronavirus live updates: China's Hubei province reports 91 additional deaths https://cnb.cx/2SAoLUI  @sahelirc
87,"#WuhanCoronavirus #WuhanVirus #Coronavirus #CoronavirusOutbreak #nCoV2020 
Latest worldwide cases.
Updated 7:35 am, Friday, 31 January 2020 (SGT)pic.twitter.com/GxRMWXVKFN",Choose to WFH until the DORSCON level downgrade to yellow or green #Singapore #coronavirus
